Abkürzung,Zeilen_gesamt,Einträge,Beispiel_1,Beispiel_2,Auflösung
Krankenpfleg.,24,2,Krankenpfleg.,Krankenpfleg. a. D.,Krankenpfleger
Kontroll.,24,6,Straßenb. Kontroll.,Kontroll.,Kontrolleur
Installationsgesch.,24,7,Installationsgesch.,Installationsgesch. u. Bauklempnerei,Installationsgeschäft
Möbelhdlg.,24,1,Möbelhdlg.,,Möbelhandlung
Ass.,24,17,Rbhn. Betr. Ass.,Rbhn. Ass.,Assistent
Werkst.,24,17,Autorep. Werkst.,Schuhrep. Werkst.,Werkstatt
Gemeindearb.,23,1,Gemeindearb.,,Gemeindearbeiter
Förderaufseh.,23,2,Förderaufseh.,Förderaufseh. a. D.,Förderaufseher
Klempn.,23,2,Klempn.,Klempn. u. Install.,Klempner
Tischlermstr.,23,2,Tischlermstr.,Tischlermstr. a. D.,Tischlermeister
mech.,22,8,mech. Schreinerei,mech. Stickerei,mechanisch
Zollsekr.,22,2,Zollsekr.,Ob. Zollsekr.,Zollsekretär
Ladeschaffn.,22,4,Ladeschaffn.,Rbhn. Ladeschaffn.,Ladeschaffner
Oberingen.,22,4,Oberingen.,Oberingen. i. R.,Oberingenieur
Bahnbeamt.,22,2,Bahnbeamt.,Bahnbeamt. a. D.,Bahnbeamter
Reichsbk.,22,13,Reichsbk. Beamt.,Reichsbk. Inspekt.,Reichsbank
Prakt.,22,7,Prakt. Arzt,Prakt. Zahnarzt,Praktischer
Revis.,22,10,Rechn. Revis.,Revis.,Revisor
Kohlenhdl.,21,1,Kohlenhdl.,,Kohlenhändler
Hilfsmstr.,21,2,Hilfsmstr.,Hilfsmstr. a. D.,Hilfsmeister
Meßgeh.,21,1,Meßgeh.,,Meßgehilfe
Stuckgesch.,21,1,Stuckgesch.,,Stuckgeschäft
Maßgesch.,21,1,Maßgesch.,,Maßgeschäft
Kettenanschläg.,21,1,Kettenanschläg.,,Kettenanschläger
staatl.,21,15,staatl. gepr. Dentist,staatl. gepr. Dentistin,staatlich
Richtmstr.,21,1,Richtmstr.,,Richtmeister
Reviersteig.,21,2,Reviersteig.,Reviersteig. a. D.,Reviersteiger
Stukkat.,21,1,Stukkat.,,Stuckateur
Mechanik.,21,1,Mechanik.,,Mechaniker
Gartenmstr.,21,4,Gartenmstr.,städt. Gartenmstr.,Gartenmeister
Konsumvorsteh.,20,1,Konsumvorsteh.,,Konsumvorsteher
Mechanikermstr.,20,1,Mechanikermstr.,,Mechanikermeister
Maschin.,20,8,Maschin.,Maschin. Steiger,Maschinist
Buchhdlg.,20,2,Buchhdlg.,Buchhdlg. Geh.,Buchhandlung
Lagermstr.,20,1,Lagermstr.,,Lagermeister
Handelslehr.,20,1,Dipl. Handelslehr.,,Handelslehrer
Obsthdl.,20,1,Obsthdl.,,Obsthändler
Bürovorst.,20,2,Bürovorst.,Bürovorst. a. D.,Bürovorsteher
Photogr.,20,5,Photogr. Atelier,Photogr.,Photograph
Fischhdlg.,20,1,Fischhdlg.,,Fischhandlung
Papierwr.,19,2,Papierwr.,Papierwr. Großhdlg.,Papierwaren-Händler
Viehhdl.,19,1,Viehhdl.,,Viehhändler
Vollzieh.,19,4,Vollzieh. Beamt.,Ger. Vollzieh.,Vollziehungs
Landarb.,19,1,Landarb.,,Landarbeiter
Glasarb.,19,1,Glasarb.,,Glasarbeiter
Laborat.,19,5,Laborat. Beamt.,Laborat. Techn.,Laboratoriums
