Beruf,Berufsgruppe,Konfidenz
Auktionator,sonstige,auto
Ausbildungsleit.,sonstige,auto
Ausbläser,sonstige,auto
Ausfugegesch.,sonstige,auto
Ausführ. v. Bauarbeiter,industrie,auto
Aush. Betriebs Assistent,sonstige,auto
Aushelfer,sonstige,auto
Aushilfsbetr. Assistent,sonstige,auto
Aushilfsrottenführ.,sonstige,auto
Aushilfsschaffn.,sonstige,auto
Aushilfsweichenwärt.,sonstige,auto
Aushilfszeichn.,sonstige,auto
Auskunftei,sonstige,auto
Auskunftei u. Detektei,sonstige,auto
Auslandskorrespond.,sonstige,auto
Ausleser,sonstige,auto
Ausmesser,sonstige,auto
Ausschlacker,sonstige,auto
Ausstellgs. Leiter,sonstige,auto
"Ausstellungs- u. Messeaufbau, Im Ried 15",sonstige,auto
Auto Elektriker,industrie,auto
Auto-Droschkenbetr.,sonstige,auto
Auto-Fahrschule,sonstige,auto
Auto-Garagen,sonstige,auto
Auto-Hauderei,sonstige,auto
Auto-Licht,sonstige,auto
Auto-Preßschilder,sonstige,auto
Auto-Reparatur,sonstige,auto
Auto-Reparaturwerkst.,sonstige,auto
Auto-Schlosserei,sonstige,auto
Auto-Transporte,sonstige,auto
Auto-Unternehm.,sonstige,auto
Auto-Verkehr,sonstige,auto
Auto-Vermietung,sonstige,auto
Auto-Vertrieb,sonstige,auto
Autobedarf,sonstige,auto
Autobegleit.,sonstige,auto
Autobeleuchtung,sonstige,auto
Autobeleuchtung u. Reparatur,sonstige,auto
Autobereifung,sonstige,auto
Autobetr.,sonstige,auto
Autobetrieb,sonstige,auto
Autobus-Reisedienst,sonstige,auto
Autobusbetr.,sonstige,auto
Autobusschaffn.,sonstige,auto
Autobusverkehr,sonstige,auto
Autodroschken,sonstige,auto
Autodroschkenbes.,sonstige,auto
Autodroschkenbesitzer,sonstige,auto
Autodroschkenbetr.,sonstige,auto
Autodroschkenbetrieb,sonstige,auto
Autoelektrik.,sonstige,auto
Autoersatz,sonstige,auto
Autofuhrwerk,sonstige,auto
Autofuhrwesen,sonstige,auto
Autog. Brenn.,sonstige,auto
Autogarage,sonstige,auto
Autogen-Schweißbetr.,sonstige,auto
Autogen-Schweißer,industrie,auto
Autogen-Schweißerei,sonstige,auto
Autogen. Brenner,sonstige,auto
Autogen. Schweißerei,sonstige,auto
Autogenbrenn.,sonstige,auto
Autogenbrenner,sonstige,auto
Autogenschweiß,sonstige,auto
Autogenschweiß.,sonstige,auto
Autogesch.,sonstige,auto
Autoklempnerei,sonstige,auto
Autolackierer,sonstige,auto
Autolackierungen,sonstige,auto
Autolichtreparat.,sonstige,auto
Automatenverkäuf.,sonstige,auto
Automatenvertr.,sonstige,auto
Automaterial,sonstige,auto
Automaterialgroßhdl.,sonstige,auto
Automech.,sonstige,auto
Automechanik.,sonstige,auto
Automechaniker,sonstige,auto
Automobil-Reparaturwerkst.,sonstige,auto
Automobil-Sachverständ.,sonstige,auto
Automobil-Verwertg.,sonstige,auto
Automobilbed.,sonstige,auto
Automobilbereifung,sonstige,auto
"Automobilbereifung, Oele, Fette",sonstige,auto
Automobilbes.,sonstige,auto
Automobilbetr.,sonstige,auto
Automobildroschkenbesitzer,sonstige,auto
Automobile,sonstige,auto
Automobilelektrik.,sonstige,auto
Automobilfachverständiger,sonstige,auto
Automobilfahrschule,sonstige,auto
Automobilfahrschule u. Reparaturwerkst.,sonstige,auto
Automobilreparatur,sonstige,auto
Automobilreparaturen,sonstige,auto
Automobilreparaturwerkst.,sonstige,auto
Automobilreparaturwerkstatt,sonstige,auto
Automobilverkehr,sonstige,auto
Automobilverleiher,sonstige,auto
Automobilvermietg.,sonstige,auto
Automobilvermietung,sonstige,auto
Automobilvermittler,sonstige,auto
Automonteur,industrie,auto
Automstr.,sonstige,auto
Autontransportgesch.,sonstige,auto
Autopfleger,sonstige,auto
Autoreifen,sonstige,auto
Autorep.,sonstige,auto
Autorep. Werkstatt,sonstige,auto
Autorep.-Werkst.,sonstige,auto
Autoreparat.,sonstige,auto
Autoreparatur,sonstige,auto
Autoreparaturanst.,sonstige,auto
Autoreparaturanstalt,sonstige,auto
Autoreparaturen,sonstige,auto
Autoreparaturw.,sonstige,auto
Autoreparaturwerkst.,sonstige,auto
Autoreparaturwerkstatt,sonstige,auto
Autoreparaturwerkstr.,sonstige,auto
Autosattler,industrie,auto
Autosattlerei,industrie,auto
Autoschaffn.,sonstige,auto
Autoschlosser,industrie,auto
Autoschweiß.,sonstige,auto
Autotaxameterbetrieb,sonstige,auto
Autotechn.,sonstige,auto
Autotranporte,sonstige,auto
Autotransp.,sonstige,auto
"Autotransp., Adelkampstr. 7",sonstige,auto
Autotransport,sonstige,auto
Autotransporte,sonstige,auto
"Autotransporte, Fuhrgeschäft",handel,auto
Autotransportunternehmung,sonstige,auto
Autotreibstoffe,sonstige,auto
Autounternehm.,sonstige,auto
Autoverkehr,sonstige,auto
Autovermiet.,sonstige,auto
Autovermietung,handel,auto
Autovermittler,sonstige,auto
Autovermtg.,sonstige,auto
Autovertret.,sonstige,auto
Autovertretung,sonstige,auto
Autovertrieb,sonstige,auto
Autowächter,sonstige,auto
Autozubehör,sonstige,auto
Autozubehör-Großhandlg.,sonstige,auto
Außenbeamt.,sonstige,auto
Außenbeamter,sonstige,auto
Bachstraße 2e,sonstige,auto
Backmstr.,sonstige,auto
Backmstr. a. D.,sonstige,auto
Backofenbauer,sonstige,auto
Backofenbaugesch.,sonstige,auto
Backofenmont.,sonstige,auto
Backwaren,handel,auto
Backwaren-Händler,handel,auto
Badeanst.,sonstige,auto
Badedien.,sonstige,auto
Badegeh.,sonstige,auto
Bademeister,industrie,auto
Bademeister a. D.,industrie,auto
