Beruf,Berufsgruppe,Konfidenz
Schwankw.,sonstige,auto
Schweinehdl.,sonstige,auto
Schweinehdlg.,sonstige,auto
Schweinemetzgerei,sonstige,auto
Schweitzer,sonstige,auto
Schweizer,sonstige,auto
Schweiß.,sonstige,auto
Schweißer,industrie,auto
Schweißermstr.,sonstige,auto
Schweißmont.,sonstige,auto
Schweißmstr.,sonstige,auto
Schwerfuhrwerksbetrieb,sonstige,auto
Schwester,sonstige,auto
Schwimmlehrerin,bildung,auto
Schwimmsstr.,sonstige,auto
Schwimmstr.,sonstige,auto
Schwißmont.,sonstige,auto
Schäfer,sonstige,auto
Schäftem.,sonstige,auto
Schäftemach.,sonstige,auto
Schäftemacher,sonstige,auto
Schürer,sonstige,auto
Schürmannstr. 26,sonstige,auto
Schützenbahn 6,sonstige,auto
Schützenbahn 78,sonstige,auto
Seemann,sonstige,auto
Seidenlampenschirme,sonstige,auto
Seidenweber,sonstige,auto
Seidenwr.,sonstige,auto
Seifengesch.,sonstige,auto
Seifengroßhdlg.,sonstige,auto
Seifenhaus,sonstige,auto
Seifenhdlg.,sonstige,auto
Seifensieder,sonstige,auto
Seifenversand,sonstige,auto
Seifenwrgesch.,sonstige,auto
Seilb. Führer,sonstige,auto
Seiler,sonstige,auto
Seilerei,sonstige,auto
Seilerrevisor,sonstige,auto
Sekret.,sonstige,auto
Sekretär,verwaltung,auto
Sekretär a. D.,verwaltung,auto
Sekretärin,verwaltung,auto
Sekretärin i. R.,verwaltung,auto
Sekretärww.,sonstige,auto
Sekräterin,sonstige,auto
Semiardirekt. a. D.,sonstige,auto
Seminar-Studienrat,akademisch,auto
Seminaroberlehrer,sonstige,auto
Senffabrik,sonstige,auto
"Senior, Invalide",haushalt,auto
Servierfrl.,sonstige,auto
Setzer,sonstige,auto
Setzereifaktor,sonstige,auto
Siedemstr.,sonstige,auto
Silberbeleger,sonstige,auto
Silberputz.,sonstige,auto
"Sixtus, Kaufmann",handel,auto
Sophie,sonstige,auto
Sortierer,sonstige,auto
Soz. Rentner,haushalt,auto
Sozialbeamtin,verwaltung,auto
Sozialfürsorgerin,sozial,auto
Sozialrentn.,sonstige,auto
Sozialrentner,sonstige,auto
Sozialrentnerin,sonstige,auto
Sozialsekretärin,verwaltung,auto
Spagyriker,sonstige,auto
Spalter,sonstige,auto
Spark. Beamter,verwaltung,auto
Spark. Direktor,verwaltung,auto
Spark. Direktor a. D.,verwaltung,auto
Spark. Inspektor,verwaltung,auto
Spark. Ober Sekretär,verwaltung,auto
Spark. Rendant,verwaltung,auto
Sparkassen Ober Inspektor,verwaltung,auto
Sparkassenbeamt.,sonstige,auto
Sparkassendirekt.,sonstige,auto
Sparkassendirekt. a. D.,sonstige,auto
Sparkasseninspekt.,sonstige,auto
Sped. Beamter,verwaltung,auto
Spedit.,sonstige,auto
Spediteur,verkehr,auto
Spedition,sonstige,auto
Speditionsarbeiter,sonstige,auto
Speditionsbeamt.,sonstige,auto
Speditionsbeamt. a. D.,sonstige,auto
Speditionsgeh.,sonstige,auto
Speditionsgesch.,sonstige,auto
Speisediele,sonstige,auto
Speiseeis,sonstige,auto
Speiseeis-Vertrieb,sonstige,auto
Speiseeisfabrk.,sonstige,auto
Speiseeisvertrieb,sonstige,auto
Speisehaus,sonstige,auto
Speiserestaurant,sonstige,auto
Speisew.,sonstige,auto
Speisewirt,sonstige,auto
Speisewirtin,sonstige,auto
Speisewirtsch.,sonstige,auto
Sperrer,sonstige,auto
Spez. Baugeschäft f. Schornsteinbau,handel,auto
Spez. Laboratorium für Harn-Untersuchung,sonstige,auto
Spezialarb.,sonstige,auto
Spezialarzt f. Haut- und Harnleiden,sonstige,auto
Spielleiter,sonstige,auto
Spielwaren,sonstige,auto
Spielwaren-Großhdl.,sonstige,auto
Spielwaren-Großhdlg.,sonstige,auto
Spielwrgroßhdl.,sonstige,auto
Spinner,sonstige,auto
Spinnereiarb.,sonstige,auto
Spinnerin,sonstige,auto
Spiralschmied,sonstige,auto
Spirituosen,gastro,auto
Spirituosen u. Tabakwaren-Händler,handel,auto
Sportart.,sonstige,auto
Sporthaus,sonstige,auto
Sportlehr.,sonstige,auto
Sportlehrer,sonstige,auto
Sprachlehr.,sonstige,auto
Sprachlehrer,sonstige,auto
Sprachlehrerin,bildung,auto
Sprachunterricht,sonstige,auto
Sprachübersetzungen,sonstige,auto
Sprechapparate,sonstige,auto
Sprechlehrerin,bildung,auto
Sprechstundenhilfe,sonstige,auto
Sprengstoffe,sonstige,auto
Sraßenb. Wagenführer,verkehr,auto
Staatlich Gepr. Dentist,sonstige,auto
Staatlich Gepr. Dentistin,sonstige,auto
Staatlich Gepr. Heildiener,sozial,auto
Staatlich Lotterie Einnahme,sonstige,auto
Staatlich Lotterie-Einnahme,sonstige,auto
Staatlich Lotterieeinn.,sonstige,auto
Staatlich Lotterieeinnahme,sonstige,auto
Staatlich Verwaltungs Inspektor i. R.,verwaltung,auto
"Staatliche Lotterie-Einnahme, Agentur des Norddeutschen Lloyd",sonstige,auto
Staatsanw.,sonstige,auto
Staatsanw. Rat,sonstige,auto
Staatsanwalt,akademisch,auto
Staatsanwaltschaftsrat,akademisch,auto
Staatsanwaltsrat,akademisch,auto
Staatsbeamt. a. D.,sonstige,auto
"Staatsrat, Oberpräsident d. Rheinprov.",sonstige,auto
Stabs Ober Wachtmeister,industrie,auto
Stabs-Ob. Wachtmeister,industrie,auto
Stabsob. Wachtmeister,industrie,auto
Stabsoberwachtmstr.,sonstige,auto
Stabswachtmstr. L. P.,sonstige,auto
Stadt Amtmann,verwaltung,auto
Stadt Arbeiter,industrie,auto
Stadt Inspektor,verwaltung,auto
Stadt Ob.-Sekr.,sonstige,auto
Stadt Ober Amtmann,verwaltung,auto
Stadt Ober Amtmann a. D.,verwaltung,auto
Stadt Ober Bauamtm.,sonstige,auto
Stadt Ober Inspektor,verwaltung,auto
Stadt Ober Inspektor a. D.,verwaltung,auto
Stadt Ober Inspektor i. R.,verwaltung,auto
Stadt Ober Sekret.,sonstige,auto
Stadt Ober Sekretär,verwaltung,auto
Stadt Ober Sekretär a. D.,verwaltung,auto
Stadt Oberinspektor,verwaltung,auto
Stadt-Amtm.,sonstige,auto
Stadt-Baumeister a. D.,industrie,auto
Stadt-Garagen,sonstige,auto
Stadt-Inspekt.,sonstige,auto
Stadt-Inspektorin,sonstige,auto
Stadt-Ob.-Inspekt.,sonstige,auto
Stadt-Ob.-Sekr.,sonstige,auto
Stadt-Sekr.,sonstige,auto
Stadt. Inspektor,verwaltung,auto
Stadt. Ober Inspektor,verwaltung,auto
Stadt. Ober Sekretär,verwaltung,auto
Stadt.-Ob. Sekretär,verwaltung,auto
Stadtamtmann,verwaltung,auto
Stadtamtmann a. D.,verwaltung,auto
Stadtamtmann i. R.,verwaltung,auto
Stadtangest.,sonstige,auto
Stadtarbeit.,sonstige,auto
Stadtarbeiter,industrie,auto
Stadtarchit.,sonstige,auto
Stadtarzt,sonstige,auto
Stadtassist.,sonstige,auto
Stadtassistentin,sonstige,auto
Stadtbauamtm.,sonstige,auto
Stadtbauarchitekt,akademisch,auto
Stadtbauführ.,sonstige,auto
Stadtbauingen.,sonstige,auto
Stadtbauingen. a. D.,sonstige,auto
Stadtbaumeister,industrie,auto
Stadtbaumstr.,sonstige,auto
"Stadtbaumstr. a. D., Ingenieur",akademisch,auto
Stadtbaurat,sonstige,auto
Stadtbaurat a. D.,sonstige,auto
Stadtbaurat i. R.,sonstige,auto
Stadtbeamt.,sonstige,auto
Stadtbeamt. a. D.,sonstige,auto
Stadtbeamtin,verwaltung,auto
Stadtbetr. Assistent,sonstige,auto
Stadtbibliothekangest.,sonstige,auto
Stadtbote,sonstige,auto
Stadtchemiker,akademisch,auto
Stadtdirekt. i. R.,sonstige,auto
Stadtdirektor,bildung,auto
Stadtekr.,sonstige,auto
Stadtförster,sonstige,auto
Stadtfürsorgerin,sozial,auto
Stadtgärtner,industrie,auto
Stadtingen.,sonstige,auto
Stadtingen. a. D.,sonstige,auto
Stadtinsp.,sonstige,auto
Stadtinspektanwärt.,sonstige,auto
Stadtinspektor,verwaltung,auto
Stadtinspektor Anwärter,verwaltung,auto
Stadtinspektor a. D.,verwaltung,auto
Stadtinspektor i. R.,verwaltung,auto
Stadtinspektrin.,sonstige,auto
Stadtlandmesser,akademisch,auto
Stadtmissionar,bildung,auto
Stadtobamtm.,sonstige,auto
Stadtober Amtmann,verwaltung,auto
Stadtober Bauamtmann,verwaltung,auto
Stadtober Inspekt a. D.,sonstige,auto
Stadtober Inspektor,verwaltung,auto
Stadtober Inspektor i. R.,verwaltung,auto
Stadtober Sekretär,verwaltung,auto
Stadtober Sekretär a. D.,verwaltung,auto
Stadtober Sekretär i. R.,verwaltung,auto
Stadtoberamtm.,sonstige,auto
Stadtoberamtm. i. R.,sonstige,auto
Stadtoberbaurat,sonstige,auto
Stadtoberbibliothekar,sonstige,auto
Stadtoberinsp.,sonstige,auto
Stadtoberinspektor,verwaltung,auto
Stadtoberinspektor a. D.,verwaltung,auto
Stadtobersekretär,verwaltung,auto
Stadtobersekretär a. D.,verwaltung,auto
Stadtobersekretär i. R.,verwaltung,auto
Stadtobsekret.,sonstige,auto
Stadtrat,sonstige,auto
Stadtrechtsrat,sonstige,auto
Stadtrechtsrat a. D.,sonstige,auto
Stadtrentmstr.,sonstige,auto
Stadtsekretär,verwaltung,auto
Stadtsekretär a. D.,verwaltung,auto
Stadtsekretär i. R.,verwaltung,auto
Stadtsekretärin,verwaltung,auto
Stadttheaterrestaurant,sonstige,auto
Stadttierarzt,akademisch,auto
Stadtturnrat,sonstige,auto
Stadtvermessgs. Sekretär,verwaltung,auto
Stadtvermessungsdirekt.,sonstige,auto
Stadtverw. Inspektor,verwaltung,auto
Stadtwachtmstr.,sonstige,auto
Stadtwachtmstr. a. D.,sonstige,auto
Stahlbau,sonstige,auto
Stahlfahr.,sonstige,auto
Stahlfahrer,sonstige,auto
Stahlformer,sonstige,auto
Stahllager,sonstige,auto
Stahlprüf.,sonstige,auto
Stahlprüfer,sonstige,auto
Stahlputzer,sonstige,auto
Stahlrevisor,sonstige,auto
Stahlschleifer,sonstige,auto
Stahltüren,sonstige,auto
Stahlwr.,sonstige,auto
"Stahlwr., Waffenhandlung u. Angelgeräte",sonstige,auto
Stahlwärter,sonstige,auto
Stallaufseher,industrie,auto
Stallknecht,sonstige,auto
Stallmeister,industrie,auto
Stallwärt.,sonstige,auto
Stampfer,sonstige,auto
Standartenführ.,sonstige,auto
Standesbeamt. a. D.,sonstige,auto
Stanzer,sonstige,auto
Stat. Aspirant,sonstige,auto
Stat. Inspektor Anwärter,verwaltung,auto
Stationshilfsschaffn.,sonstige,auto
Stationsschaffner,verkehr,auto
Stationsschaffner a. D.,verkehr,auto
Stationswärt.,sonstige,auto
Staßb. Meister,industrie,auto
Staßenb. Bediensteter,sonstige,auto
Stecher,sonstige,auto
Steiber,sonstige,auto
Steiger,bergbau,auto
Steiger a. D.,bergbau,auto
Steiger i. R.,bergbau,auto
"Steiger, Rauchstr. 22",bergbau,auto
"Steiger, Ückendorfer Str",bergbau,auto
Steigert,bergbau,auto
Steigerww,bergbau,auto
Steigerww.,bergbau,auto
Steinarb.,sonstige,auto
Steinbildh.,sonstige,auto
Steinbildhauer,sonstige,auto
Steinbildhauerei,sonstige,auto
Steinbr. Arbeiter,industrie,auto
Steinbrenner,sonstige,auto
Steinbrucharb.,sonstige,auto
Steinbruchbes.,sonstige,auto
Steinbruchmstr.,sonstige,auto
Steinbruchunternehm.,sonstige,auto
Steindruck.,sonstige,auto
Steindrucker,sonstige,auto
Steinform.,sonstige,auto
Steinformer,sonstige,auto
Steinhauer,sonstige,auto
Steinhauerei,sonstige,auto
Steinholzfabrkt.,sonstige,auto
Steinholzleg.,sonstige,auto
Steinholzleger,sonstige,auto
Steinkipper,sonstige,auto
Steinleser,sonstige,auto
Steinmetz,sonstige,auto
Steinmetz.,sonstige,auto
Steinmetzarb.,sonstige,auto
Steinmetzer,sonstige,auto
Steinmetzmstr.,sonstige,auto
Steinmetzpolier,sonstige,auto
Steinrichter,akademisch,auto
Steinschleifer,sonstige,auto
Steinschläg.,sonstige,auto
Steinsetzer,industrie,auto
Steinsetzmstr.,industrie,auto
Steinstoß.,sonstige,auto
Steinstoßer,sonstige,auto
Stellmacher,industrie,auto
Stellmacherei,industrie,auto
Stellmachermstr.,industrie,auto
Stellmmstr.,sonstige,auto
Stellv. Filialdirekt.,sonstige,auto
Stellvertret. Arbeitsamtsdirekt.,sonstige,auto
Stellw. Meister,industrie,auto
Stellw. Meister i. R.,industrie,auto
Stellwerkmeister a. D.,industrie,auto
Stellwerkmstr.,sonstige,auto
Stellwerkmstr. a. D.,sonstige,auto
Stellwerkmstr. i. R.,sonstige,auto
Stellwerksbeamt.,sonstige,auto
Stellwerksmeister,industrie,auto
Stellwerksmeister A.d.,industrie,auto
Stellwerksmeister I. Kl.,industrie,auto
Stellwerksmeister a. D.,industrie,auto
Stellwerksmeister i. R.,industrie,auto
Stellwerksmstr,sonstige,auto
Stellwerkswärt.,sonstige,auto
Stemmer,sonstige,auto
Stempelfabrik,sonstige,auto
Stempelfabrk.,sonstige,auto
Stempelfbrk.,sonstige,auto
Stempelmach.,sonstige,auto
Stempelmacher,sonstige,auto
Stempelmachermstr.,sonstige,auto
Stempler,sonstige,auto
Stenograph,sonstige,auto
Stenographielehr.,sonstige,auto
Stenographielehrer,sonstige,auto
Stenotypistin,sonstige,auto
"Steph., Obsthandlung",handel,auto
Sterbewäschefabrik,sonstige,auto
Stereotypeur,sonstige,auto
Sternapotheke,sonstige,auto
Steuer Assistent,sonstige,auto
Steuer Inspektor,verwaltung,auto
Steuer Ober Sekretär,verwaltung,auto
Steuer Sekretär,verwaltung,auto
Steuer-Angest.,sonstige,auto
Steuer-Anwärt.,sonstige,auto
Steuer-Assist.,sonstige,auto
Steuer-Ob. Wachtmeister,industrie,auto
Steuer-Ob.-Wachtmstr.,sonstige,auto
Steuer-Wachtmstr.,sonstige,auto
Steueramtm.,sonstige,auto
Steueranw.,sonstige,auto
Steueranwärt.,sonstige,auto
Steueranwärter,sonstige,auto
Steuerassess.,sonstige,auto
Steuerassess. a. D.,sonstige,auto
Steuerassistent,verwaltung,auto
Steuerassistent a. D.,verwaltung,auto
Steuerbeamt.,sonstige,auto
Steuerbeamter,sonstige,auto
Steuerberater,verwaltung,auto
Steuerberatg.,sonstige,auto
Steuerberatung,sonstige,auto
Steuerbetr. Assistent,sonstige,auto
Steuerdirekt.,sonstige,auto
Steuerdirektor,bildung,auto
Steuerinspektor,verwaltung,auto
Steuerkontr.,sonstige,auto
Steuerkontroll.,sonstige,auto
Steuerkontrolleur,verwaltung,auto
Steuerm.,sonstige,auto
Steuermann,sonstige,auto
Steuermaschinist,industrie,auto
Steuerob. Inspektor,verwaltung,auto
Steuerobersekr.,sonstige,auto
Steueroberwachtmstr.,sonstige,auto
Steuerpraktikant,sonstige,auto
Steuerrat,sonstige,auto
Steuersachverst.,sonstige,auto
Steuersekr,sonstige,auto
Steuersekretär,verwaltung,auto
Steuersupern.,sonstige,auto
Steuersupernumerar,sonstige,auto
Steuersyndikus,akademisch,auto
Steuerwachtmstr.,sonstige,auto
Steward,sonstige,auto
Sticker,sonstige,auto
Stickerei,sonstige,auto
Stickereien,sonstige,auto
Stickerin,sonstige,auto
Stocher,bergbau,auto
Stoffdrucker,sonstige,auto
Stopferin,sonstige,auto
Stoßer,sonstige,auto
Strafanstalt Aufseher,industrie,auto
Strafanstalt Haupt-Wachtmstr.,sonstige,auto
Strafanstalt Hauptwachmstr. a. D.,sonstige,auto
Strafanstalt Hauptwachtmeister,industrie,auto
Strafanstalt Hauptwachtmeister i. R.,industrie,auto
Strafanstalt Inspektor,verwaltung,auto
Strafanstalt Ober Hauptwachtmeister,industrie,auto
Strafanstalt Ober Wachtmeister,industrie,auto
Strafanstalt Pfarrer,bildung,auto
Strafanstalt Wachtmeister,industrie,auto
Strafanstalt Wachtmeistrin.,sonstige,auto
"Strafanstalt, Ober Wachtmeister",industrie,auto
Strafanstalts Ober Wachtmeister,industrie,auto
Strafanstaltsdirekt.,sonstige,auto
Strafanstaltsinspekt.,sonstige,auto
Strahlenamb.,sonstige,auto
Straß. Arbeiter,industrie,auto
Straß. Bediensteter,sonstige,auto
Straß. Führer,sonstige,auto
Straßb Wagenführer,verkehr,auto
Straßbführ.,sonstige,auto
Straßbschaffn.,sonstige,auto
Straßenarb.,sonstige,auto
Straßenb- Bediensteter,sonstige,auto
Straßenb.-Schaffn.,sonstige,auto
Straßenbahn,verkehr,auto
Straßenbahn Angestellter,verkehr,auto
Straßenbahn Arbeiter,industrie,auto
Straßenbahn Assistent,verkehr,auto
Straßenbahn Beamter,verkehr,auto
Straßenbahn Bed.,verkehr,auto
Straßenbahn Bediensteter,verkehr,auto
Straßenbahn Bedienstr.,verkehr,auto
Straßenbahn Direktor a. D.,verkehr,auto
Straßenbahn Fahrbeamt.,verkehr,auto
Straßenbahn Führer,verkehr,auto
Straßenbahn Führer a. D.,verkehr,auto
Straßenbahn Kassenschaffner,verkehr,auto
Straßenbahn Kontrolleur,verkehr,auto
Straßenbahn Ober Kontrolleur,verkehr,auto
Straßenbahn Ober Schaffner,verkehr,auto
Straßenbahn Schaffn,verkehr,auto
Straßenbahn Schaffner,verkehr,auto
Straßenbahn Wag. Führer,verkehr,auto
Straßenbahn Wagenführer,verkehr,auto
"Straßenbahn, Schaffner",verkehr,auto
Straßenbahn.,verkehr,auto
Straßenbahn. Führer,verkehr,auto
Straßenbahner,verkehr,auto
Straßenbau,sonstige,auto
"Straßenbau-, Pflaster- und Tiefbauunternehmung",industrie,auto
Straßenbauarb.,sonstige,auto
Straßenbaumstr.,sonstige,auto
Straßenbaustoffe,sonstige,auto
Straßenbauunternehm.,sonstige,auto
Straßenbschaffn.,sonstige,auto
Straßenhdl.,sonstige,auto
Straßenhdlr.,sonstige,auto
Straßenmeister,industrie,auto
Straßenmeister a. D.,industrie,auto
Straßenwalzenbetr.,sonstige,auto
Straßenwärt.,sonstige,auto
Streckenarb.,sonstige,auto
Streckenwärter,verkehr,auto
Streckenwärter a. D.,verkehr,auto
Strickerei,sonstige,auto
Strickereibetr.,sonstige,auto
Strickwr.,sonstige,auto
Strumpfvertretung,sonstige,auto
Strumpfwr.,sonstige,auto
Strßb. Führer,sonstige,auto
Stuckateur,industrie,auto
Stuckgeschäft,handel,auto
Stud.-Assess.,sonstige,auto
Stud.Assess.,sonstige,auto
Student,sonstige,auto
Studien Assessor,akademisch,auto
Studien Assessor a. D.,akademisch,auto
Studien Assessorin,akademisch,auto
Studien Assistent,sonstige,auto
Studien Direktor,verwaltung,auto
Studien Direktor i. R.,verwaltung,auto
Studien Rat,sonstige,auto
Studien Rat a. D.,sonstige,auto
Studien Rat i. R.,sonstige,auto
"Studien Rat, Diplom Ingenieur",akademisch,auto
Studien Rat.,sonstige,auto
Studien Referend.,sonstige,auto
Studien Referendar,sonstige,auto
Studien Refr.,sonstige,auto
Studien Rätin,sonstige,auto
Studien-Referendar,sonstige,auto
Studienass.,sonstige,auto
Studienassess.,sonstige,auto
Studienassessorin,akademisch,auto
Studienassist.,sonstige,auto
Studiendirektor,akademisch,auto
Studiendirektor i. R.,akademisch,auto
Studiendirektorin a. D.,akademisch,auto
Studienr.,sonstige,auto
Studienrat,akademisch,auto
Studienrat a. D.,akademisch,auto
Studienrat i. R.,akademisch,auto
Studienrat u. Religlehr.,akademisch,auto
"Studienrat, Architekt",akademisch,auto
Studienrat.,akademisch,auto
Studienreferendar,sonstige,auto
Studienreferendarin,sonstige,auto
Studienrät.,sonstige,auto
Studienrätin,sonstige,auto
Studienrätin a. D.,sonstige,auto
Stuhl- u. Tischlager,sonstige,auto
Stuhlflechterin,sonstige,auto
Stuhlmstr.,sonstige,auto
Stukateur,sonstige,auto
Stukkateur,industrie,auto
Stukkateurmeister,industrie,auto
Sturmführ.,sonstige,auto
Städtischer Angestellter,verwaltung,auto
Städtischer Arbeiter,industrie,auto
Städtischer Arbeiterin,sonstige,auto
Städtischer Beamter,verwaltung,auto
Städtischer Direktor,verwaltung,auto
Städtischer Gartenmeister,industrie,auto
Städtischer Gartenobermstr.,sonstige,auto
Städtischer Gelderheber,sonstige,auto
Städtischer Kammermusik.,sonstige,auto
Städtischer Kammermusiker,sonstige,auto
Städtischer Kapellmeister,industrie,auto
Städtischer Konzertmeister,industrie,auto
Städtischer Lagerarbeiter,industrie,auto
Städtischer Musikdirektor,verwaltung,auto
Städtischer Ober Tierarzt,akademisch,auto
Städtischer Rohrleger,industrie,auto
Städtischer Straßenmeister,industrie,auto
Städtischer Veterinärrat,sonstige,auto
Stößer,sonstige,auto
Stütze,sonstige,auto
Sub. Direktor,verwaltung,auto
Subdirekt.,sonstige,auto
Synagogendiener,sonstige,auto
Syndiaktsbeamt.,sonstige,auto
Syndicatsbeamt.,sonstige,auto
Syndikat Beamter,verwaltung,auto
Syndikatangest.,sonstige,auto
Syndikats Angestellter,verwaltung,auto
Syndikats Beamter,verwaltung,auto
Syndikats Beamter a. D.,verwaltung,auto
Syndikats Direktor i. R.,verwaltung,auto
Syndikats Prokurist,verwaltung,auto
Syndikats-Beamt.,verwaltung,auto
Syndikats-Direktor,verwaltung,auto
Syndikatsangest.,verwaltung,auto
Syndikatsbeamter,verwaltung,auto
Syndikatsbeamter a. D.,verwaltung,auto
Syndikatsbeamtin,verwaltung,auto
Syndikatsdirekt.,verwaltung,auto
Syndikatsdirekt. a. D.,verwaltung,auto
Syndikatsdirektor,verwaltung,auto
Syndikatsprokurist,verwaltung,auto
Syndikus,akademisch,auto
Syndikus an der Industrie- und Handelskammer,akademisch,auto
Synikatsbeamt.,sonstige,auto
Sägearb.,sonstige,auto
Sägemasch.,sonstige,auto
Sägemaschinist,industrie,auto
Sägemstr.,sonstige,auto
Sägemüller,sonstige,auto
Sägenschl.,sonstige,auto
Sägenwärt.,sonstige,auto
Säger,sonstige,auto
Sägerichter,akademisch,auto
Sägewerk,sonstige,auto
Sägewerk u. Holzhandlung,handel,auto
Sägewerksarb.,sonstige,auto
Sägewärt.,sonstige,auto
Sägewärter,sonstige,auto
Sänger,bildung,auto
Sängerin,bildung,auto
Säuglingspflegerin,sonstige,auto
Südfrüchte,sonstige,auto
Südfrüchtegroßhdlg.,sonstige,auto
Südweinimport,sonstige,auto
Süßwaren,sonstige,auto
Süßwr.,sonstige,auto
Süßwr. Vertreter,handel,auto
Süßwrgroßhandlung.,handel,auto
Süßwrgroßhdlg.,sonstige,auto
Süßwrvertrieb,sonstige,auto
Tabackwr.,sonstige,auto
Tabakfabrikate,sonstige,auto
Tabakfabrikategroßhdlg.,sonstige,auto
Tabakgroßhdlg.,sonstige,auto
Tabakhdl.,sonstige,auto
Tabakmstr.,sonstige,auto
Tabakspinner,sonstige,auto
Tabakw.,sonstige,auto
Tabakwar. Großhandlung,handel,auto
Tabakwaren,handel,auto
Tabakwaren im Hauptbhf.,handel,auto
Tabakwaren-Großhandlung,handel,auto
Tabakwaren-Händler,handel,auto
Tabakwaren-Händler Vertreter,handel,auto
"Tabakwaren-Händler, Großhandlung",handel,auto
"Tabakwaren-Händler, Holsterhauser Str. 24",handel,auto
Tabakwrgesch.,sonstige,auto
Tabakwrgroßhdl.,sonstige,auto
Tabakwrhdl.,sonstige,auto
Tabakwrhdlg.,sonstige,auto
Tabakwrvertret.,sonstige,auto
Tabalwaren-Großhdlg.,sonstige,auto
Tabalwr.,sonstige,auto
Tabellierer,sonstige,auto
Tafelführer,sonstige,auto
Tagearb.,sonstige,auto
Tagelöhner,industrie,auto
Tagesarb,sonstige,auto
Tagesarbeit.,sonstige,auto
Tagesarbeiter,industrie,auto
Tageswächt.,sonstige,auto
Tankmstr.,sonstige,auto
Tankstelle,sonstige,auto
Tankstellen,sonstige,auto
Tankstelleninhaber,sonstige,auto
Tankstellenwärt.,sonstige,auto
Tankstellenwärter,sonstige,auto
Tankw.,sonstige,auto
Tankwart,sonstige,auto
Tankwärt.,sonstige,auto
Tankwärter,sonstige,auto
Tanzlehr.,sonstige,auto
Tanzlehrer,sonstige,auto
Tanzlehrerin,bildung,auto
Tanzlehrin.,sonstige,auto
Tanzschule,sonstige,auto
Tanzsportlehr.,sonstige,auto
Tapenten,sonstige,auto
Tapeten,sonstige,auto
"Tapeten, Farbwaren u. Lacke",sonstige,auto
"Tapeten, Linoleum, Farben",sonstige,auto
Tapetenfabrkt.,sonstige,auto
Tapetengesch.,sonstige,auto
Tapetengroßhdlg.,sonstige,auto
Tapetenhaus,sonstige,auto
Tapetenhdl.,sonstige,auto
Tapetenhdlg.,sonstige,auto
Tapetenvertret.,sonstige,auto
Tapezierer,industrie,auto
Taubst. Ober Lehrerin,bildung,auto
Taubst. Oberlehrerin,bildung,auto
Taubstumm. Ober Lehrer,bildung,auto
Taubstummen Ober Lehrer,bildung,auto
Taxatorsww.,sonstige,auto
Tech. Beamter,verwaltung,auto
Tech. Stadtinspektor,verwaltung,auto
Technik,sonstige,auto
Techniker,industrie,auto
Techniker Angestellter,industrie,auto
Techniker Aufsichtsbeamter,industrie,auto
Techniker Beamter,industrie,auto
Techniker Beamter i. R.,industrie,auto
Techniker Bed. Art.,industrie,auto
Techniker Büro,industrie,auto
Techniker Bürogehilfe,industrie,auto
Techniker Bürovorsteher,industrie,auto
Techniker Erzeugnisse,industrie,auto
Techniker Großhandlung,industrie,auto
Techniker Inspektor,industrie,auto
Techniker Kaufmann,industrie,auto
Techniker Landes-Inspekt.,industrie,auto
Techniker Lehrer,industrie,auto
Techniker Lehrerin,industrie,auto
Techniker Leiter,industrie,auto
Techniker Ober Bahnsekr. a. D.,industrie,auto
Techniker Ober Inspektor,industrie,auto
Techniker Ober Sekretär,industrie,auto
Techniker Ober Sekretär a. D.,industrie,auto
Techniker Obersekretär,industrie,auto
Techniker Photograph,industrie,auto
Techniker Polizei Ober Sekretär,industrie,auto
Techniker Reichsbahn Assistent,industrie,auto
Techniker Reichsbahn Beamter,industrie,auto
Techniker Reichsbahn Insp.=,industrie,auto
Techniker Reichsbahn Inspektor,industrie,auto
Techniker Reichsbahn Ober Inspektor,industrie,auto
Techniker Reichsbahn Ober Sekretär,industrie,auto
Techniker Reichsbahn Sekretär,industrie,auto
Techniker Revisor,industrie,auto
Techniker Revisor a. D.,industrie,auto
Techniker Röntgeninspekt.,industrie,auto
Techniker Sekretär,industrie,auto
Techniker Stadt Inspektor,industrie,auto
Techniker Stadt Ober Inspektor,industrie,auto
Techniker Stadt Ober Sekretär,industrie,auto
Techniker Stadtinspektor,industrie,auto
Techniker Stadtinspkt.,industrie,auto
Techniker Stadtober Inspektor,industrie,auto
Techniker Stadtober Sekretär,industrie,auto
Techniker Stadtoberinspektor a. D.,industrie,auto
Techniker Stadtsekretär,industrie,auto
Techniker Vertretungen,industrie,auto
Techniker Werkführer,industrie,auto
Techniker a. D.,industrie,auto
Technische Bedarfsartikel,sonstige,auto
Teermstr.,sonstige,auto
Teichsb. Schaffner,verkehr,auto
Teilhab.,sonstige,auto
Teilhaber,sonstige,auto
Teilheber,sonstige,auto
Telefonist,sonstige,auto
Telefonistin,sonstige,auto
Telefonmonteur,industrie,auto
Telefonrevis.,sonstige,auto
Teleg. Sekretärin,verwaltung,auto
Telegr.-Arb.,sonstige,auto
Telegr.-Bauhandwerker,sonstige,auto
Telegr.-Sekr.,sonstige,auto
Telegraf.,sonstige,auto
Telegrafist,sonstige,auto
Telegraphen Angestellter,verkehr,auto
Telegraphen Anwärter,verkehr,auto
Telegraphen Arbeiter,industrie,auto
Telegraphen Assistent,verkehr,auto
Telegraphen Assistent a. D.,verkehr,auto
